tweet_id,text,created_at,user_id,tweet_id,label,reply,reply_text
1250219300389974016,regularli rins nose salin help prevent infect new coronaviru,2020-04-15T00:28:03.000Z,312362691,1250219300389974016,0,"1250219116993974272,1250219437027766273,1250219620939657216,1250219777185873922,1250219894429208577,1250219998842216448,1250220115762667520,1250220272306638848,1250220389323526146,1250220527005753344,1250220791544705025,1250220987238383616,1250221140603047937,1250221275827470336,1250221402822545410",eat garlic help prevent infect new coronaviruvaccin pneumonia protect new coronaviruspray alcohol chlorin bodi kill new coronaviru chambereffect thermal scanner detect peopl infect new coronaviruultraviolet disinfect lamp kill new coronaviruhand dryer effect kill new coronavirunew coronaviru transmit mosquitotake hot bath prevent new coronaviru diseascold weather snow kill newcovid viru transmit area hot humid climatdrink alcohol protect covid dangerabl hold breath second without cough feel discomfort mean free coronaviru diseas covid lungrecov coronaviru diseas covid catch new coronaviru meanexpos sun temperatur higher degre prevent coronaviru diseas covidmobil network spread covid
554886875303780352,french polic chief kill charliehebdo attack,2015-01-13T06:25:15.000Z,16343974,554886875303780352,1,"554887349180833793,554890068603969536,554892765255847936,554892798869389312,554893028394278912,554893579957460992,554895301316591616,554895363165790209,554896019419574273,554898706680778753,554899738575642624,554900417071833088,554902157942480896,554902638220042240,554903624808398850,554907945377726464,554908645163421696,554915829171515392,554919484473880576,554927149090897920,554959644125167617,554961344676392960,554965654437384192",trauma mustfrench polic chief kill charliehebdo attack terriblstink whole affairsad loss pensiv face may ripfwiw command comit suicid found pya wanna bet killcartoonist respons sent hell humili norm islam blasphemi pbuhreport three day happenkill kill shot forehead taht doesnt get behindtook kinda person guess sadohh boy v go pakistani alreadi call fals flag eivil jew mt charliehebdofrench polic chief kill charliehebdo attack flush face wtftask investig charli hebdo obvious strang like discov anythanoth weird conspiracihorribl dubya kill go brainsatisfi nawazsharif hide report blamenoth see movert french polic chief kill charliehebdo attackohyeh sure
1237901309011021825,coronaviru diseas covid advic public eight spoke asterisk wear mask protect eight spoke asterisk put use take dispos mask eight spoke asterisk use mask,2020-03-12T00:40:45.000Z,285048274,1237901309011021825,0,"1237901311439450112,1239862502516760577",infect control suspect confirm covid case eight spoke asterisk recommend cdc recommendradio button person protect equip ppe respir surgic mask face mask surgic mask vs respir
524958128392376320,ottawa polic confirm multipl suspect shoot say possibl,2014-10-22T16:19:05.000Z,3108351,524958128392376320,0,"524959028061798401,524959070407503873,524959339745140736,524961934064754688,525016147448836096",killer go berserk henceforth laps securterrorist ottawahahaha said far thinkhope prelud biggercanadian peopl start shoot well c est la fin du mond non
1250219998842216448,hand dryer effect kill new coronaviru,2020-04-15T00:30:50.000Z,312362691,1250219998842216448,0,"1250220791544705025,1250220987238383616,1250221140603047937,1250221275827470336,1250221402822545410",drink alcohol protect covid dangerabl hold breath second without cough feel discomfort mean free coronaviru diseas covid lungrecov coronaviru diseas covid catch new coronaviru meanexpos sun temperatur higher degre prevent coronaviru diseas covidmobil network spread covid
1241047451483553792,new coronaviru affect older peopl younger peopl also suscept health,2020-03-20T17:02:24.000Z,118558167,1241047451483553792,0,"1241047449348632577,1241256462308933632",vaccin pneumonia protect new coronaviru coronaspecif medicin prevent treat new coronaviru coronaviru
1221830244895686658,q antibiot effect prevent treat new coronaviru ncov antibiot work virus viru therefor antibiot use mean prevent,2020-01-27T16:20:05.000Z,3794682452,1221830244895686658,0,1221831180657614850,q chines doctor said use hiv drug treat viru firstli use trial error chines treatment methodolog
1221830244895686658,q antibiot effect prevent treat new coronaviru ncov antibiot work virus viru therefor antibiot use mean prevent,2020-01-27T16:20:05.000Z,3794682452,1221830244895686658,0,"1220520711078342657,1221728548848713729,1221831204418334721,1221836996781408261,1221843359305818115,1223609427342716930,1223614129832775682,1223674972498825216,1223846826823970816,1223902268744843265,1224201250876489729",stay healthi travel face thermomet avoid travel fever hospit fever cough difficulti breath seek medic care earli share previou travel histori health care providpractis food safeti red triangl point sick anim anim die diseas coronaviruq new coronaviru affect older peopl younger peopl also suscept peopl age infect older peopl pre exist medic condit appear vulner becom sever ill virupet home spread new coronaviru ncov present evid companion anim pet dog cat infect howev alway good idea wash hand soap water contact petspecif medicin prevent treat new coronaviru ncov date specif medicin recommend prevent treat help acceler research develop effort rangsafe receiv letter packag china ye peopl receiv packag china risk contract previou analysi know coronavirus surviv long object letter knowthefactvaccin pneumonia protect vaccin pneumonia provid protect viru new need knowthefactput eat sesam oil block enter bodi sesam oil delici kill knowthefactuse mask face medic mask need use one put use take dispos mask find inform guidanc regard current outbreak novel coronaviru ncov right arrow ncoveat garlic help prevent infect new coronaviru ncov garlic healthi food may antimicrobi howev evid current outbreak eat garlic protect peopl new coronaviruregularli rins nose salin help prevent infect new coronaviru ncov evid regularli rins nose salin protect peopl infect new coronaviru right arrow
1221830244895686658,q antibiot effect prevent treat new coronaviru ncov antibiot work virus viru therefor antibiot use mean prevent,2020-01-27T16:20:05.000Z,3794682452,1221830244895686658,0,1221831180657614850,q chines doctor said use hiv drug treat viru firstli use trial error chines treatment methodolog
1221830244895686658,q antibiot effect prevent treat new coronaviru ncov antibiot work virus viru therefor antibiot use mean prevent,2020-01-27T16:20:05.000Z,3794682452,1221830244895686658,0,"1220520711078342657,1221728548848713729,1221831204418334721,1221836996781408261,1221843359305818115,1223609427342716930,1223614129832775682,1223674972498825216,1223846826823970816,1223902268744843265,1224201250876489729",stay healthi travel face thermomet avoid travel fever hospit fever cough difficulti breath seek medic care earli share previou travel histori health care providpractis food safeti red triangl point sick anim anim die diseas coronaviruq new coronaviru affect older peopl younger peopl also suscept peopl age infect older peopl pre exist medic condit appear vulner becom sever ill virupet home spread new coronaviru ncov present evid companion anim pet dog cat infect howev alway good idea wash hand soap water contact petspecif medicin prevent treat new coronaviru ncov date specif medicin recommend prevent treat help acceler research develop effort rangsafe receiv letter packag china ye peopl receiv packag china risk contract previou analysi know coronavirus surviv long object letter knowthefactvaccin pneumonia protect vaccin pneumonia provid protect viru new need knowthefactput eat sesam oil block enter bodi sesam oil delici kill knowthefactuse mask face medic mask need use one put use take dispos mask find inform guidanc regard current outbreak novel coronaviru ncov right arrow ncoveat garlic help prevent infect new coronaviru ncov garlic healthi food may antimicrobi howev evid current outbreak eat garlic protect peopl new coronaviruregularli rins nose salin help prevent infect new coronaviru ncov evid regularli rins nose salin protect peopl infect new coronaviru right arrow
